3C 279,12:56:11.167,-05:47:21.525,J1256-0547,1253-055,28
3C 454.3,22:53:57.748,+16:08:53.561,J2253+1608,2251+158,28
AO 0235+164,02:38:38.930,+16:36:59.275,J0238+1636,0235+164,27
OJ 287,08:54:48.875,+20:06:30.641,J0854+2006,0851+202,27
PKS 1510-08,15:12:50.533,-09:05:59.830,J1512-0905,1510-089,27
BL Lac,22:02:43.291,+42:16:39.980,J2202+4216,2200+420,27
3C 273,12:29:06.700,+02:03:08.598,J1229+0203,1226+023,26
TXS 0716+714,07:21:53.448,+71:20:36.363,J0721+7120,0716+714,25
W Comae,12:21:31.691,+28:13:58.500,J1221+2813,1219+285,25
OI 158,07:38:07.394,+17:42:18.998,J0738+1742,0735+178,24
Mrk 421,11:04:27.314,+38:12:31.799,J1104+3812,1101+384,24
CTA 102,22:32:36.409,+11:43:50.904,J2232+1143,2230+114,24
3C 66A,02:22:39.611,+43:02:07.799,J0222+4302,0219+428,23
OJ 248,08:30:52.086,+24:10:59.820,J0830+2410,0827+243,23
4C +21.35,12:24:54.458,+21:22:46.389,J1224+2122,1222+216,23
4C +38.41,16:35:15.493,+38:08:04.501,J1635+3808,1633+382,23
3C 345,16:42:58.810,+39:48:36.994,J1642+3948,1641+399,23
Mrk 501,16:53:52.217,+39:45:36.609,J1653+3945,1652+398,23
S4 0954+65,09:58:47.245,+65:33:54.818,J0958+6533,0954+658,22
PKS 0420-01,04:23:15.801,-01:20:33.066,J0423-0120,0420-014,21
4C +29.45,11:59:31.834,+29:14:43.827,J1159+2914,1156+295,21
DA 406,16:13:41.064,+34:12:47.909,J1613+3412,1611+343,21
OT 081,17:51:32.819,+09:39:00.728,J1751+0939,1749+096,21
PKS 0528+134,05:30:56.417,+13:31:55.150,J0530+1331,0528+134,20
OJ 049,08:31:48.877,+04:29:39.086,J0831+0429,0829+046,20
4C +71.07,08:41:24.365,+70:53:42.173,J0841+7053,0836+710,20
3C 446,22:25:47.259,-04:57:01.391,J2225-0457,2223-052,20
OP 313,13:10:28.664,+32:20:43.783,J1310+3220,1308+326,19
1ES 1959+650,19:59:59.852,+65:08:54.652,J1959+6508,1959+650,19
NRAO 530,17:33:02.706,-13:04:49.548,J1733-1304,1730-130,18
3C 84,03:19:48.160,+41:30:42.106,J0319+4130,0316+413,17
CTA 26,03:39:30.938,-01:46:35.804,J0339-0146,0336-019,17
ON 325,12:17:52.082,+30:07:00.636,J1217+3007,1215+303,17
3C 371,18:06:50.681,+69:49:28.109,J1806+6949,1807+698,17
4C +01.28,10:58:29.605,+01:33:58.824,J1058+0133,1055+018,16
PKS 1127-14,11:30:07.053,-14:49:27.388,J1130-1449,1127-145,16
PKS B1406-076,14:08:56.481,-07:52:26.667,J1408-0752,1406-076,16
PG 1553+113,15:55:43.044,+11:11:24.366,J1555+1111,1553+113,16
1ES 2344+514,23:47:04.837,+51:42:17.881,J2347+5142,2344+514,16
3C 111,04:18:21.277,+38:01:35.800,J0418+3801,0415+379,15
PKS 0422+00,04:24:46.842,+00:36:06.329,J0424+0036,0422+004,15
S5 1803+784,18:00:45.684,+78:28:04.018,J1800+7828,1803+784,15
PKS 2155-304,21:58:52.065,-30:13:32.118,J2158-3013,2155-304,15
PKS 0048-09,00:50:41.317,-09:29:05.210,J0050-0929,0048-097,14
4C +28.07,02:37:52.406,+28:48:08.990,J0237+2848,0234+285,14
3C 120,04:33:11.096,+05:21:15.619,J0433+0521,0430+052,14
1ES 0806+524,08:09:49.187,+52:18:58.251,J0809+5218,0806+524,14
OR 103,15:04:24.980,+10:29:39.199,J1504+1029,1502+106,14
S2 0109+22,01:12:05.825,+22:44:38.786,J0112+2244,0109+224,13
NRAO 190,04:42:38.661,-00:17:43.421,J0442-0017,0440-003,13
PKS 0754+100,07:57:06.643,+09:56:34.852,J0757+0956,0754+100,13
OJ 425,08:18:16.000,+42:22:45.415,J0818+4222,0814+425,13
OQ 240,14:27:00.392,+23:48:00.037,J1427+2348,1424+240,13
PKS 1622-29,16:26:06.021,-29:51:26.971,J1626-2951,1622-297,13
1H 1720+117,17:25:04.341,+11:52:15.471,J1725+1152,1722+119,13
4C +51.37,17:40:36.978,+52:11:43.407,J1740+5211,1739+522,13
DA 55,01:36:58.595,+47:51:29.100,J0136+4751,0133+476,12
OI 061,07:39:18.034,+01:37:04.618,J0739+0137,0736+017,12
PKS 0805-07,08:08:15.536,-07:51:09.887,J0808-0751,0805-077,12
OQ 530,14:19:46.597,+54:23:14.787,J1419+5423,1418+546,12
4C +10.45,16:08:46.203,+10:29:07.776,J1608+1029,1606+106,12
4C +06.69,21:48:05.459,+06:57:38.604,J2148+0657,2145+067,12
PHL 5225,22:29:40.084,-08:32:54.436,J2229-0832,2227-088,12
NRAO 005,00:06:13.893,-06:23:35.335,J0006-0623,0003-066,11
TXS 0059+581,01:02:45.762,+58:24:11.137,J0102+5824,0059+581,11
NRAO 140,03:36:30.108,+32:18:29.342,J0336+3218,0333+321,11
PKS 0454-234,04:57:03.179,-23:24:52.020,J0457-2324,0454-234,11
4C +14.23,07:25:16.808,+14:25:13.747,J0725+1425,0722+145,11
OI 280,07:50:52.046,+12:31:04.828,J0750+1231,0748+126,11
